Rank,Name,Year,Aired On,No of Episode,Network,Duration(minute),Content Rating,Cast,Genre,Rating
#86,Hotel del Luna,2019," Saturday, Sunday",16,tvN,153,15+ - Teens 15 or older,"IU, Yeo Jin Goo, Shin Jung Keun, Bae Hae Seon, P.O, Jo Hyun Chul",Fantasy,8.6
#87,My Liberation Notes,2022," Saturday, Sunday",16,Netflix,154,15+ - Teens 15 or older,"Lee Min Ki, Kim Ji Won, Son Suk Ku, Lee El, Lee Ki Woo, Chun Ho Jin",Melodrama,8.6
#88,Missing,2020," Saturday, Sunday",12,OCN,155,15+ - Teens 15 or older,"Go Soo, Heo Joon Ho, Ahn So Hee, Ha Joon, Seo Eun Soo, Song Geon Hee",Thriller,8.6
#89,Law School,2021," Wednesday, Thursday",16,Netflix,156,15+ - Teens 15 or older,"Kim Myung Min, Kim Bum, Ryu Hye Young, Lee Jung Eun, Lee Soo Kyung, David Lee",Mystery,8.6
#90,Children of Nobody,2018," Wednesday, Thursday",32,MBC,157,15+ - Teens 15 or older,"Kim Sun Ah, Lee Yi Kyung, Nam Gyu Ri, Cha Hak Yeon, Joo Seok Tae, Na Young Hee",Drama,8.6
#91,Ghost Doctor,2022," Monday, Tuesday",16,tvN,158,15+ - Teens 15 or older,"Rain, Kim Bum, Uee, Son Na Eun, Sung Dong Il, Tae In Ho",Comedy,8.6
#92,"It's Okay, That's Love",2014," Wednesday, Thursday",16,SBS,159,15+ - Teens 15 or older,"Zo In Sung, Gong Hyo Jin, Sung Dong Il, Lee Kwang Soo, Jin Kyung, Lee Sung Kyung",Psychological,8.6
#93,Eulachacha Waikiki,2018," Monday, Tuesday",20,jTBC,160,15+ - Teens 15 or older,"Kim Jung Hyun, Lee Yi Kyung, Son Seung Won, Jung In Sun, Go Won Hee, Lee Joo Woo",Drama,8.6
#94,Once Again,2020," Saturday, Sunday",100,KBS2,161,15+ - Teens 15 or older,"Chun Ho Jin, Cha Hwa Yun, Lee Jung Eun, Oh Dae Hwan, Lee Min Jung, Lee Sang Yeob",Comedy,8.6
#95,Good Manager,2017," Wednesday, Thursday",20,KBS2,162,15+ - Teens 15 or older,"Namkoong Min, Nam Sang Mi, Lee Jun Ho, Jung Hye Sung, Kim Won Hae, Kim Kang Hyun",Business,8.6
#96,Empress Ki,2013," Monday, Tuesday",51,MBC,163,15+ - Teens 15 or older,"Ha Ji Won, Ji Chang Wook, Joo Jin Mo, Baek Jin Hee, Jin Yi Han, Kim Seo Hyung",Historical,8.6
#97,Love to Hate You,2023,Friday,10,Netflix,164,15+ - Teens 15 or older,"Kim Ok Bin, Yoo Teo, Kim Ji Hoon, Go Won Hee, Lee Joo Bin, Kim Sung Ryung",Law,8.6
#98,Go Back Couple,2017," Friday, Saturday",12,KBS2,165,15+ - Teens 15 or older,"Jang Na Ra, Son Ho Jun, Heo Jung Min, Han Bo Reum, Jang Ki Yong, Go Bo Gyeol",Comedy,8.6
#99,The Bridal Mask,2012," Wednesday, Thursday",28,KBS2,166,15+ - Teens 15 or older,"Joo Won, Jin Se Yeon, Park Ki Woong, Han Chae Ah, Shin Hyun Joon, Chun Ho Jin",Historical,8.6
#100,My Father Is Strange,2017," Saturday, Sunday",52,KBS2,167,15+ - Teens 15 or older,"Kim Yeong Cheol, Kim Hae Sook, Ryu Soo Young, Lee Yoo Ri, Lee Joon, Jung So Min",Comedy,8.6
